category,id.1,id.2,SH_8_1,SH_8_2,SH_8_3,SH_8_4,SH_8_5,SH_8_6,SH_8_7,SH_8_8,year.diff.squared
Digital Art,2008,2010,0.0010717560716743,0.00225254458847115,0.000713259842973584,1.22205093734449e-06,0.000106406907962175,0.000886193985037857,0.00102914343305013,0.00236989734025981,4
Digital Art,2008,2009,6.29882134694367e-05,0.000939940184679202,0.000392525756009192,2.59639754669331e-07,1.30055699778639e-05,0.000104501043554026,0.000181495134000228,0.00064591785359525,1
Digital Art,2008,2004,0.0672482033416328,0.000330902973549681,0.00519929957431139,0.0122377998446222,0.013942467672607,0.0119778107286433,0.00674786688933466,0.000827943747538709,16
Digital Art,2008,2005,0.0366260607790895,0.000679614266587988,0.00316799786529016,0.00739701840643901,0.00983166866206058,0.00821108003325014,0.00449375630941659,0.000106073137008252,9
Digital Art,2008,2006,0.0158678834716346,0.000289147078098119,0.0020783087867178,0.00475014412522462,0.00498558520261825,0.00478339287695466,0.00251926646581876,0.000346861319281038,4
Digital Art,2008,2007,0.00342550876997562,2.13134630491388e-06,0.000262986432882568,0.00103895401313285,0.00146586057058416,0.00110756921510522,0.000545469310139235,0.000160575689547976,1
Digital Art,2008,2001,0.0282955924648705,0.0160310048574295,0.00365743425617529,0.0100954919471285,0.0145364394984135,0.00309588378432745,0.00490057303142372,0.000281194906432042,49
Digital Art,2008,2003,0.0851451329125151,0.00344993028807196,0.0163158828777521,0.0324858408429892,0.0298588118536538,0.0272366526982895,0.0132178250220765,0.0047217490388729,25
Digital Art,2008,2002,0.0211133394411453,0.00423478990555113,0.017177178968332,0.0277881388303594,0.0252041599030399,0.011732858291691,0.0102723409973802,0.00768393568275711,36
Digital Art,2010,2009,0.000615098250886627,0.000282325206057367,4.7536367290726e-05,2.60826604336064e-06,4.50113358082092e-05,0.000382063132524131,0.000346267060609089,0.000541338276798281,1
Digital Art,2010,2004,0.0513407167634616,0.00431014811785366,0.00976402749994953,0.0119944388644952,0.0116128328121221,0.00634797407481963,0.00250651778515255,0.000396311730339116,36
Digital Art,2010,2005,0.025167181907314,0.00540671856413918,0.00688765466138721,0.00720808753705018,0.00789243878658491,0.00370223565470587,0.00122186740333525,0.00147320939850828,25
Digital Art,2010,2006,0.00869185185075897,0.00415577553804828,0.00522662443920783,0.00459898615016443,0.00363528252278664,0.00155181367949198,0.000328045609288726,0.000903445980488348,16
Digital Art,2010,2007,0.00066513236857703,0.00239325374808385,0.00184245101336802,0.00096891163463708,0.000782387257703879,1.23281884009842e-05,7.61252945129634e-05,0.00129670173889503,9
Digital Art,2010,2001,0.0183535439212728,0.0303019608616174,0.00760098881217169,0.0098745680514727,0.012155456143626,0.000669342592477649,0.00143821669113653,0.00101842196663173,81
Digital Art,2010,2003,0.0671114119503644,0.0112778212517916,0.0238518882265644,0.0320885689679874,0.0264002874328122,0.0182969710900198,0.00687050919049955,0.000401336823185629,49
Digital Art,2010,2002,0.0126712425100939,0.0126644059959758,0.0248909507850634,0.0274208041225488,0.0220352672991609,0.00616999391278203,0.00479865050067159,0.00151916519414542,64
Digital Art,2009,2004,0.0631949582344467,0.00238624264194615,0.00844899805602328,0.0123507966894043,0.013103816647518,0.00984472939772634,0.0047160342073117,1.12835371554096e-05,25
Digital Art,2009,2005,0.0336512799856081,0.00321804969273316,0.00579078885853777,0.00748492643566736,0.00912950584687702,0.00646294357078172,0.00286904558190276,0.000228485372752136,16
Digital Art,2009,2006,0.0139313821188203,0.0022717395691326,0.00427725611891229,0.00482064125512002,0.0044893152980904,0.00347386485804829,0.00134837910245213,4.61136166311591e-05,9
Digital Art,2009,2007,0.00255948314577707,0.00103158885979717,0.00129809743113559,0.00107206201753981,0.0012027187000269,0.000531652331832476,9.76790540763141e-05,0.000162385773488471,4
Digital Art,2009,2001,0.0256885328747069,0.0247344972358626,0.00644632154288816,0.0101981467245103,0.0136798366941777,0.00206280303093814,0.00319587606596414,7.47541256379835e-05,64
Digital Art,2009,2003,0.0805764303730188,0.00799138577167784,0.0217697935278578,0.032669780810996,0.0286254934416453,0.0239669820628149,0.0103015978163095,0.00187489607009562,36
Digital Art,2009,2002,0.0188699091914806,0.00916494271910181,0.0227629638785332,0.0279582796703528,0.0240720987232564,0.00962277500824078,0.0077229901776031,0.00387420936592294,49
Digital Art,2004,2005,0.00461628141151724,6.20735007819794e-05,0.00025031032554931,0.000606078859815468,0.000358097174419918,0.000354500172211864,0.000228309544986381,0.000341319354375629,1
Digital Art,2004,2006,0.0177835021620593,1.40757675339245e-06,0.000703188237529483,0.00173916525971965,0.00225335821336917,0.00162256766692721,0.00102100098413013,0.000103018407895942,4
Digital Art,2004,2007,0.0403185273609358,0.000279920523908151,0.00312361523212876,0.00614527118989789,0.00636671033091042,0.0058008059884915,0.00345627779645902,0.000259279728436742,9
Digital Art,2004,2001,0.00830096788925651,0.011755517844748,0.000135243964367685,0.000102987270043956,6.19477606678455e-06,0.00289471097467002,0.00014741135849309,0.000144123494255337,9
Digital Art,2004,2003,0.00105454794591323,0.0016439269081638,0.00309441559497406,0.00484606713952525,0.00299414686482414,0.00309048408346049,0.00107737554223848,0.00159528127814304,1
Digital Art,2004,2002,0.0130001695479689,0.00219815865792889,0.00347575905391291,0.00314419896219081,0.00165485863027164,1.26532274055754e-06,0.000368914880803665,0.00346733128203583,4
Digital Art,2005,2006,0.00427867428497159,8.21758058513868e-05,0.000114415071027018,0.000291884630656898,0.000814879523358741,0.000460228338926743,0.00028369306838499,6.93061557536773e-05,1
Digital Art,2005,2007,0.0176495256772724,0.000605627458531172,0.00160545373642116,0.00289154748687149,0.00370493930963098,0.00328728473687275,0.00190795996232947,5.62953901128802e-06,4
Digital Art,2005,2001,0.000536683277400452,0.010109134561027,1.75708079537169e-05,0.000209392607632165,0.00045849029029542,0.00122320469178447,8.81263056439102e-06,4.18568343807811e-05,16
Digital Art,2005,2003,0.0100835791034609,0.00106711294398995,0.00510491247309423,0.00887973923454975,0.0054231815391139,0.00553838067279431,0.00229760266409892,0.00341240600708987,4
Digital Art,2005,2002,0.00212291152772797,0.00152145640607178,0.00559156489574297,0.00651117080945624,0.00355256640424548,0.000313407160262246,0.0011776614631162,0.00598439627833828,9
Digital Art,2006,2007,0.00454814568646095,0.000241628749419965,0.000862691805229343,0.00134604454792597,0.00104471930710264,0.00128751177984033,0.000720225130926016,3.54306719178523e-05,1
Digital Art,2006,2001,0.00178465273465451,0.0120141941031737,0.000221660072370508,0.000995720294427986,0.00249584983266558,0.000182828534559925,0.000392507343042974,3.44230905695518e-06,25
Digital Art,2006,2003,0.0274991252551221,0.00174154162187091,0.00674782867031748,0.0123914744249725,0.0104424585639851,0.0091916763379039,0.00419599564232196,0.0025090853233575,9
Digital Art,2006,2002,0.000373900697181525,0.00231081509134461,0.00730567905684739,0.00956023565682884,0.00777033506373065,0.00153321131969736,0.00261737251404331,0.00476567215407795,16
Digital Art,2007,2001,0.0120308193536673,0.0156634464799554,0.00195893595698978,0.00465717743934313,0.00677009697387317,0.000499992146087773,0.00217611133878162,1.67855797843704e-05,36
Digital Art,2007,2003,0.0544142133263198,0.00328056240788658,0.0124359930936328,0.0219056219571901,0.0180930655708339,0.0173594182189926,0.00839303627646716,0.00314083328969428,16
Digital Art,2007,2002,0.00753015285620137,0.00404691279080988,0.0131893466453196,0.0180808193767886,0.0145134117003577,0.00563072497504945,0.00608357467445009,0.0056229324106645,25
Digital Art,2001,2003,0.0152728695128561,0.00460735464773633,0.00452349267449298,0.00636197086166315,0.00272795904718384,0.0119671874330625,0.00202182489804062,0.00269839906252965,4
Digital Art,2001,2002,0.00052480571359526,0.003786967432605,0.00498224396521597,0.00438527668134867,0.00145855423461944,0.0027749350875093,0.000982726255367016,0.00502527782053375,1
Digital Art,2003,2002,0.0214599324383208,4.01849013290615e-05,1.1076228890394e-05,0.000183346281248508,0.000197089152865166,0.00321681674470529,0.000185402054080496,0.000358840168001943,1
Traditional Art,2007,2006,0.00353512359165175,0.00102401172384744,0.0013068394044508,0.00114653923157273,0.000218837376232965,0.000694171778938187,0.000728371159128561,0.000181708899949567,1
Traditional Art,2007,2005,0.00456931009651039,0.00235485716472674,0.00200445628737746,0.00198227724610087,0.00158674020436027,0.00170416196770629,0.000932747659980708,0.000296288338697567,4
Traditional Art,2007,2010,0.00994719528704886,0.00413301249942308,0.00595963994029846,0.00518797036153346,0.00445959316144939,0.00163379286091252,0.000453043243327436,3.10964091166305e-05,9
Traditional Art,2007,2008,0.000166880869317822,0.000930324162791123,0.00197260008023937,0.000857405461677348,0.000853732591234945,0.000702745180445442,0.000150790125705439,3.50085344565219e-08,1
Traditional Art,2007,2009,0.00853582792950357,0.00240339501750203,0.00358950887721649,0.00245241642499837,0.00209814400565654,0.000486072391374111,0.000137216069744569,3.64849909946536e-05,4
Traditional Art,2007,2004,0.00892646027153975,0.0114432142872669,0.00992444133427743,0.00896695942197095,0.00708100109185487,0.00680863422628983,0.00392960170376601,0.00196539988329054,9
Traditional Art,2007,2003,0.0118751945871783,0.0158580975388577,0.0152784582251491,0.00813555317020684,0.00327440556342057,0.0056981490303738,0.00352028041102693,0.00244870935801938,16
Traditional Art,2007,2002,0.021427689376071,0.0263486252158849,0.0244820361309082,0.0202621526151982,0.0138237302423327,0.00932409765646655,0.00828527366914345,0.00274581386945618,25
Traditional Art,2007,2001,0.0912245291013135,0.0384190941932554,0.0306034937840369,0.0821668893341577,0.0284164023218091,0.0486651066594888,0.0188799665283858,0.0040558883114076,36
Traditional Art,2006,2005,6.62558051475031e-05,0.000273131395052669,7.43202758919444e-05,0.000113682231568727,0.000627039396085733,0.000223035013392901,1.26207217192827e-05,1.3935914714102e-05,1
Traditional Art,2006,2010,0.0253422623406255,0.00927151240734262,0.0128479817626725,0.0112123007127564,0.00665420954001845,0.00445787815610074,0.0023302984388631,0.00036314484868189,16
Traditional Art,2006,2008,0.00523816135155177,0.00390642486993482,0.00649058975465862,0.00398692124296296,0.0019370434494682,0.00279380760943473,0.00154197703191674,0.000186788256721384,4
Traditional Art,2006,2009,0.0230573443209542,0.00656498840559892,0.00922805078455108,0.00695263521396115,0.0036721969797289,0.0023419975634434,0.00149786636903487,5.53485953006758e-05,9
Traditional Art,2006,2004,0.00122661340557796,0.00562091734478622,0.00402860040352135,0.00370070807058826,0.00481018973780938,0.00315476656980288,0.00127436026811625,0.000951900599275938,4
Traditional Art,2006,2003,0.00245187991789919,0.00882261106549549,0.00764852164541407,0.00317382558370817,0.00180024285433567,0.00241463593035564,0.00104610837860459,0.00129632338316894,9
Traditional Art,2006,2002,0.00755597175767727,0.0169839313171192,0.0144762119202666,0.0117689090920739,0.0105639766072598,0.00493003773581291,0.0041004974109472,0.00151481074257913,16
Traditional Art,2006,2001,0.0588436403885139,0.0268985289416138,0.0192621947340202,0.0639013125390932,0.0236478271720582,0.0377348311548726,0.0121917014945793,0.00252063360849987,25
Traditional Art,2005,2010,0.0280000983553265,0.0127273100544963,0.0148766464803213,0.0135839814970667,0.011366564851135,0.00667516783151637,0.0026859063213903,0.000519358739767549,25
Traditional Art,2005,2008,0.00648265074617055,0.00624543842464108,0.00795398514913509,0.00544706863039544,0.00476826301491066,0.0045955977242762,0.001833602147991,0.000302764657817412,9
Traditional Art,2005,2009,0.0255955895375256,0.00951625679619594,0.0109586696811666,0.00884439628113466,0.00733410848282479,0.00401050475979762,0.00178547185117743,0.000124830285863372,16
Traditional Art,2005,2004,0.000722710430064184,0.00341594543621557,0.00300855932511005,0.00251715516256375,0.0019637994350218,0.00170015632373541,0.00103334072241724,0.000735483692710924,1
Traditional Art,2005,2003,0.0017120308214727,0.00599108011605663,0.00621494240362895,0.00208616261098986,0.0003023604239155,0.00116995386329216,0.000828923593561495,0.00104144373204104,4
Traditional Art,2005,2002,0.00620712757699098,0.0129494671628551,0.0124760432819587,0.00956922507618722,0.00604357799513992,0.00305586409727388,0.00365814016953331,0.00123815916054508,9
Traditional Art,2005,2001,0.0549608544001367,0.0217506520412706,0.0169435489617479,0.0586244683364016,0.0165734071561345,0.0321557325703531,0.0114198017975773,0.00215972376830375,16
Traditional Art,2010,2008,0.00753725905243645,0.00114158124233855,0.0010748392813567,0.00182722735593326,0.00141086497744119,0.00019351208831638,8.10927158927396e-05,2.90446596775466e-05,4
Traditional Art,2010,2009,5.39649279237961e-05,0.000232992046440227,0.00029881250563628,0.000506506011797957,0.000439937347117723,0.000337572792656393,9.16018624158531e-05,0.000134947629234973,1
Traditional Art,2010,2004,0.0377196889389145,0.0293304912429015,0.0312653812145561,0.0277960909825019,0.0227795237477804,0.0151129287149593,0.00705118724644654,0.00249093285597657,36
Traditional Art,2010,2003,0.0435594439184502,0.0361826776393711,0.0403225536059133,0.0263169078055487,0.0153766466059233,0.0134342677450048,0.00649906255996886,0.00303169730722226,49
Traditional Art,2010,2002,0.0605738853839664,0.051352593358006,0.0545998316585515,0.045955678051249,0.0339865985850209,0.0187639507747909,0.0126131522663532,0.00336132434904931,64
Traditional Art,2010,2001,0.16141882244096,0.0677542174389821,0.0635731913968411,0.128647928681419,0.0553904880129456,0.0681324301675636,0.0251822631496867,0.00479726230643805,81
Traditional Art,2008,2009,0.00631568857668426,0.000343109571859493,0.000240204975151339,0.000409673451094644,0.000275121906051679,1.99120488866734e-05,3.2005810175242e-07,3.87803411531858e-05,1
Traditional Art,2008,2004,0.0115343699813636,0.0188991491498901,0.0207462117196531,0.0153699288704893,0.0128521644800352,0.0118861867798392,0.00561993089670318,0.00198202474047229,16
Traditional Art,2008,2003,0.0148575631911713,0.0244703931455681,0.0282307282313677,0.0142751807862059,0.00747206802617685,0.0104030670049675,0.00512822327505068,0.00246726200419304,25
Traditional Art,2008,2002,0.0253765651848624,0.0371810224332773,0.0403533075773254,0.0294557155412259,0.0215482034167419,0.015146399337268,0.0106715390982903,0.00276545774531744,36
Traditional Art,2008,2001,0.0991949037316427,0.0513063764375209,0.0481155216908078,0.0998112349201275,0.0391210249820221,0.0610638629823399,0.022405315900055,0.00407975529054473,49
Traditional Art,2009,2004,0.0349202066219105,0.0243351867492511,0.0254510973197109,0.0207982283500713,0.0168880905493674,0.0109331068817164,0.00553542868379599,0.00146631938980081,25
Traditional Art,2009,2003,0.0405470218835398,0.0306086821332557,0.0336790658366735,0.0195214491459878,0.0106147530771372,0.00951271232640718,0.00504751668551661,0.00188739458696704,36
Traditional Art,2009,2002,0.0570118495603361,0.0446675666659649,0.0468202501393309,0.0368129712020496,0.0266929794361792,0.0140679565362801,0.0105549743832764,0.00214927123293335,49
Traditional Art,2009,2001,0.155569921922825,0.0600408408113512,0.0551550171266276,0.113009968237803,0.0459575647103891,0.0588784119092773,0.022236272409822,0.00332301240264967,64
Traditional Art,2004,2003,0.000210059223677915,0.000359329098379533,0.000575259612919221,2.02205735367486e-05,0.000725023616214797,4.93978946057854e-05,1.12532355153798e-05,2.65390315178342e-05,1
Traditional Art,2004,2002,0.00269382297373415,0.00306358216016066,0.00323145340265385,0.00227063282915262,0.00111727581919372,0.000197315925450848,0.000802982361417673,6.50875131502446e-05,4
Traditional Art,2004,2001,0.0430786796311651,0.00792721923172673,0.00567265840539188,0.0368462014507252,0.00712723768504563,0.0190680868838058,0.00558275789047916,0.000374539603205879,9
Traditional Art,2003,2002,0.0013994057268904,0.00132449831974845,0.00107986528709452,0.00271940210749122,0.00364235649532765,0.000444167523890864,0.00100435292520934,8.5035138544279e-06,1
Traditional Art,2003,2001,0.0372724030928058,0.00491105989777932,0.00263502373338734,0.0385927491380897,0.0123986513593325,0.0210585394878108,0.00609530580726259,0.000201680356555039,4
Traditional Art,2002,2001,0.0242275415356779,0.00113469923779006,0.000341184433322398,0.020823207559778,0.00260072388266496,0.0153860022318193,0.0021511889821068,0.000127358953720545,1
